longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-118.030.000,33.970.000,32.000.000,2.468.000.000,552.000.000,1.190.000.000,479.000.000,3.827.500,238.500.000.000
-122.320.000,38.000.000,32.000.000,2.275.000.000,397.000.000,1.233.000.000,418.000.000,4.043.700,162.800.000.000
-118.280.000,34.170.000,22.000.000,2.664.000.000,651.000.000,1.553.000.000,629.000.000,3.635.400,256.300.000.000
-119.140.000,36.060.000,32.000.000,1.838.000.000,441.000.000,1.628.000.000,425.000.000,1.645.200,41.500.000.000
-117.130.000,34.070.000,34.000.000,2.405.000.000,541.000.000,1.342.000.000,514.000.000,2.803.100,86.900.000.000
-120.670.000,35.300.000,32.000.000,4.202.000.000,986.000.000,2.309.000.000,956.000.000,2.216.500,231.700.000.000
-118.060.000,34.120.000,34.000.000,2.941.000.000,558.000.000,1.660.000.000,576.000.000,4.566.700,271.500.000.000
-122.390.000,40.570.000,38.000.000,855.000.000,172.000.000,468.000.000,150.000.000,1.409.100,84.400.000.000
-118.390.000,33.880.000,33.000.000,2.543.000.000,439.000.000,1.098.000.000,416.000.000,5.968.300,495.500.000.000
-118.160.000,34.020.000,47.000.000,1.055.000.000,298.000.000,1.303.000.000,302.000.000,2.696.400,138.800.000.000
-122.580.000,37.980.000,52.000.000,1.180.000.000,216.000.000,467.000.000,197.000.000,4.961.500,292.200.000.000
-118.020.000,33.920.000,35.000.000,2.075.000.000,424.000.000,1.312.000.000,396.000.000,3.796.900,164.800.000.000
-119.700.000,34.400.000,25.000.000,1.858.000.000,493.000.000,865.000.000,460.000.000,3.093.800,312.500.000.000
-122.680.000,38.430.000,29.000.000,488.000.000,63.000.000,161.000.000,62.000.000,6.077.400,334.400.000.000
-121.350.000,38.590.000,29.000.000,1.285.000.000,193.000.000,460.000.000,206.000.000,5.324.300,265.700.000.000
-121.980.000,37.270.000,25.000.000,3.075.000.000,564.000.000,1.633.000.000,543.000.000,5.252.800,269.400.000.000
-118.080.000,34.580.000,5.000.000,1.113.000.000,186.000.000,631.000.000,168.000.000,4.171.900,146.600.000.000
-118.250.000,34.060.000,20.000.000,41.000.000,17.000.000,87.000.000,25.000.000,1.549.100,225.000.000.000
-122.250.000,37.820.000,26.000.000,3.959.000.000,1.196.000.000,1.749.000.000,1.217.000.000,3.023.300,255.000.000.000
-119.050.000,34.350.000,39.000.000,950.000.000,300.000.000,1.366.000.000,312.000.000,2.244.300,146.600.000.000
-117.540.000,33.760.000,5.000.000,5.846.000.000,1.035.000.000,3.258.000.000,1.001.000.000,4.796.500,160.800.000.000
-118.210.000,33.880.000,31.000.000,1.332.000.000,417.000.000,1.405.000.000,363.000.000,2.012.500,143.000.000.000
-117.200.000,32.790.000,29.000.000,1.213.000.000,228.000.000,654.000.000,246.000.000,4.598.700,255.600.000.000
-120.960.000,37.590.000,11.000.000,4.236.000.000,879.000.000,2.410.000.000,850.000.000,2.384.900,122.000.000.000
-118.240.000,34.010.000,48.000.000,396.000.000,99.000.000,485.000.000,110.000.000,2.375.000,107.500.000.000
-118.270.000,34.000.000,43.000.000,1.638.000.000,434.000.000,1.213.000.000,390.000.000,1.340.300,110.800.000.000
-122.250.000,37.890.000,41.000.000,1.125.000.000,195.000.000,356.000.000,181.000.000,6.159.300,344.000.000.000
-117.300.000,34.090.000,40.000.000,1.051.000.000,244.000.000,745.000.000,243.000.000,2.184.200,75.200.000.000
-120.910.000,37.740.000,19.000.000,1.690.000.000,327.000.000,855.000.000,296.000.000,3.250.000,176.700.000.000
-122.160.000,38.900.000,33.000.000,1.221.000.000,236.000.000,488.000.000,199.000.000,3.757.400,92.700.000.000
-118.310.000,33.890.000,35.000.000,2.144.000.000,423.000.000,1.192.000.000,417.000.000,4.145.800,231.500.000.000
-118.180.000,34.020.000,43.000.000,887.000.000,219.000.000,965.000.000,217.000.000,2.625.000,133.900.000.000
-117.970.000,33.750.000,32.000.000,1.564.000.000,270.000.000,973.000.000,290.000.000,3.750.000,190.400.000.000
-117.950.000,35.080.000,1.000.000,83.000.000,15.000.000,32.000.000,15.000.000,4.875.000,141.700.000.000
-118.030.000,33.910.000,35.000.000,2.323.000.000,406.000.000,1.741.000.000,398.000.000,4.243.700,164.100.000.000
-118.380.000,33.970.000,43.000.000,2.715.000.000,458.000.000,1.151.000.000,434.000.000,7.489.700,362.600.000.000
-119.820.000,36.720.000,25.000.000,2.581.000.000,528.000.000,1.642.000.000,509.000.000,1.643.500,52.600.000.000
-122.060.000,37.680.000,30.000.000,5.367.000.000,1.207.000.000,2.667.000.000,1.047.000.000,3.179.600,170.300.000.000
-122.410.000,40.550.000,19.000.000,3.753.000.000,761.000.000,1.952.000.000,738.000.000,3.095.400,86.500.000.000
-117.880.000,33.720.000,36.000.000,1.910.000.000,352.000.000,1.593.000.000,329.000.000,3.890.000,170.000.000.000
-120.800.000,38.310.000,37.000.000,1.341.000.000,256.000.000,533.000.000,242.000.000,3.213.500,123.600.000.000
-118.100.000,34.170.000,48.000.000,1.111.000.000,229.000.000,421.000.000,202.000.000,3.281.300,268.100.000.000
-118.090.000,34.120.000,38.000.000,1.713.000.000,285.000.000,779.000.000,286.000.000,5.615.200,359.900.000.000
-118.310.000,34.060.000,47.000.000,3.038.000.000,1.533.000.000,4.225.000.000,1.472.000.000,1.672.500,187.500.000.000
-118.020.000,33.800.000,16.000.000,2.956.000.000,393.000.000,1.379.000.000,429.000.000,8.495.200,359.600.000.000
-121.940.000,37.280.000,18.000.000,4.356.000.000,1.334.000.000,1.968.000.000,1.245.000.000,3.629.400,240.000.000.000
-117.950.000,34.080.000,37.000.000,1.137.000.000,203.000.000,672.000.000,226.000.000,3.296.900,189.000.000.000
-118.150.000,33.940.000,36.000.000,1.948.000.000,341.000.000,992.000.000,363.000.000,4.259.400,242.400.000.000
-121.810.000,37.990.000,22.000.000,2.331.000.000,359.000.000,1.086.000.000,340.000.000,5.143.500,150.800.000.000
-121.810.000,38.580.000,17.000.000,1.964.000.000,314.000.000,808.000.000,286.000.000,5.962.900,286.000.000.000
-121.280.000,38.770.000,6.000.000,3.819.000.000,550.000.000,1.738.000.000,587.000.000,5.871.800,201.400.000.000
-118.430.000,34.010.000,43.000.000,1.487.000.000,242.000.000,675.000.000,247.000.000,5.340.300,489.800.000.000
-121.380.000,38.590.000,36.000.000,1.239.000.000,237.000.000,764.000.000,222.000.000,3.015.600,103.000.000.000
-117.680.000,35.650.000,15.000.000,2.701.000.000,576.000.000,1.245.000.000,513.000.000,3.326.900,81.900.000.000
-117.690.000,33.580.000,8.000.000,2.887.000.000,351.000.000,1.176.000.000,351.000.000,10.395.300,500.001.000.000
-118.240.000,34.000.000,23.000.000,588.000.000,157.000.000,716.000.000,173.000.000,1.205.600,87.500.000.000
-117.700.000,33.600.000,25.000.000,1.321.000.000,295.000.000,396.000.000,278.000.000,3.113.100,77.100.000.000
-118.380.000,33.860.000,12.000.000,4.235.000.000,735.000.000,1.798.000.000,683.000.000,6.424.200,365.500.000.000
-117.050.000,32.610.000,31.000.000,4.033.000.000,715.000.000,2.585.000.000,715.000.000,3.509.600,139.900.000.000
-121.380.000,38.640.000,19.000.000,4.563.000.000,1.069.000.000,2.256.000.000,926.000.000,2.147.200,143.400.000.000
-117.100.000,32.740.000,20.000.000,3.854.000.000,1.046.000.000,3.555.000.000,966.000.000,1.674.700,100.000.000.000
-122.470.000,37.760.000,48.000.000,2.064.000.000,484.000.000,1.055.000.000,467.000.000,2.871.100,329.600.000.000
-117.840.000,33.760.000,16.000.000,238.000.000,51.000.000,93.000.000,50.000.000,5.375.000,215.700.000.000
-122.260.000,37.880.000,52.000.000,2.604.000.000,837.000.000,1.798.000.000,769.000.000,1.725.000,287.500.000.000
-118.400.000,33.870.000,45.000.000,2.181.000.000,505.000.000,965.000.000,471.000.000,5.381.600,500.001.000.000
-122.370.000,38.330.000,29.000.000,1.868.000.000,291.000.000,764.000.000,284.000.000,4.825.000,195.100.000.000
-117.980.000,34.010.000,27.000.000,2.643.000.000,418.000.000,1.344.000.000,381.000.000,5.705.700,262.100.000.000
-122.700.000,38.450.000,26.000.000,2.011.000.000,557.000.000,855.000.000,530.000.000,1.125.000,233.300.000.000
-118.410.000,33.970.000,44.000.000,2.789.000.000,503.000.000,3.732.000.000,474.000.000,4.617.600,352.300.000.000
-121.920.000,37.300.000,36.000.000,2.088.000.000,358.000.000,772.000.000,347.000.000,4.276.200,310.100.000.000
-122.110.000,37.370.000,49.000.000,1.068.000.000,190.000.000,410.000.000,171.000.000,7.204.500,500.001.000.000
-121.870.000,37.390.000,9.000.000,2.522.000.000,547.000.000,1.591.000.000,481.000.000,4.909.100,259.700.000.000
-120.180.000,39.140.000,25.000.000,2.171.000.000,386.000.000,248.000.000,116.000.000,3.037.500,171.900.000.000
-117.060.000,32.760.000,36.000.000,2.785.000.000,577.000.000,1.275.000.000,527.000.000,2.301.500,156.800.000.000
-117.240.000,33.930.000,12.000.000,7.105.000.000,1.447.000.000,4.520.000.000,1.333.000.000,3.270.500,113.200.000.000
-118.250.000,33.980.000,47.000.000,617.000.000,162.000.000,754.000.000,144.000.000,2.296.900,116.700.000.000
-117.800.000,33.680.000,14.000.000,2.635.000.000,516.000.000,1.150.000.000,499.000.000,4.439.100,306.700.000.000
-119.780.000,36.370.000,41.000.000,831.000.000,149.000.000,443.000.000,146.000.000,3.140.600,100.000.000.000
-117.040.000,32.700.000,7.000.000,9.311.000.000,1.703.000.000,7.302.000.000,1.694.000.000,4.419.000,156.900.000.000
-118.290.000,34.000.000,6.000.000,1.487.000.000,468.000.000,1.509.000.000,403.000.000,1.463.900,112.500.000.000
-118.360.000,34.060.000,52.000.000,2.130.000.000,455.000.000,921.000.000,395.000.000,2.960.500,500.001.000.000
-122.420.000,37.620.000,39.000.000,1.355.000.000,214.000.000,682.000.000,246.000.000,6.344.300,324.700.000.000
-118.420.000,34.250.000,37.000.000,1.545.000.000,341.000.000,1.909.000.000,352.000.000,3.679.100,148.100.000.000
-121.100.000,38.950.000,17.000.000,1.475.000.000,403.000.000,943.000.000,363.000.000,2.128.700,55.300.000.000
-117.740.000,34.050.000,27.000.000,852.000.000,237.000.000,1.024.000.000,221.000.000,2.114.100,110.900.000.000
-122.390.000,37.740.000,52.000.000,126.000.000,24.000.000,37.000.000,27.000.000,10.226.400,225.000.000.000
-118.370.000,34.080.000,52.000.000,2.946.000.000,695.000.000,1.258.000.000,650.000.000,3.978.300,374.100.000.000
-122.080.000,37.870.000,24.000.000,6.130.000.000,1.359.000.000,1.750.000.000,1.286.000.000,2.916.700,102.700.000.000
-118.440.000,34.200.000,28.000.000,1.732.000.000,435.000.000,1.198.000.000,417.000.000,2.921.900,241.300.000.000
-121.370.000,38.560.000,19.000.000,6.308.000.000,1.167.000.000,3.012.000.000,1.112.000.000,2.946.400,113.500.000.000
-122.100.000,37.930.000,20.000.000,10.212.000.000,1.424.000.000,4.083.000.000,1.374.000.000,8.039.000,382.200.000.000
-117.220.000,32.950.000,4.000.000,18.123.000.000,3.173.000.000,7.301.000.000,2.964.000.000,6.357.000,322.500.000.000
-122.130.000,37.460.000,31.000.000,2.247.000.000,573.000.000,1.711.000.000,511.000.000,3.264.200,185.600.000.000
-122.300.000,38.290.000,20.000.000,1.789.000.000,434.000.000,1.113.000.000,398.000.000,2.472.800,139.700.000.000
-123.410.000,40.610.000,17.000.000,769.000.000,205.000.000,301.000.000,126.000.000,1.787.500,55.000.000.000
-120.770.000,37.010.000,28.000.000,1.689.000.000,378.000.000,1.057.000.000,267.000.000,3.125.000,156.300.000.000
-118.800.000,34.410.000,45.000.000,1.610.000.000,406.000.000,1.148.000.000,347.000.000,2.700.000,120.400.000.000
-119.270.000,34.270.000,52.000.000,1.577.000.000,343.000.000,836.000.000,335.000.000,3.589.300,206.600.000.000
-122.470.000,37.740.000,52.000.000,3.797.000.000,668.000.000,1.633.000.000,658.000.000,5.678.700,363.600.000.000
-118.260.000,34.130.000,25.000.000,3.208.000.000,1.111.000.000,2.843.000.000,1.005.000.000,2.667.300,218.100.000.000
-119.770.000,36.760.000,40.000.000,2.009.000.000,519.000.000,2.219.000.000,505.000.000,1.210.100,49.100.000.000
-124.160.000,41.920.000,19.000.000,1.668.000.000,324.000.000,841.000.000,283.000.000,2.133.600,75.000.000.000
-119.030.000,36.130.000,24.000.000,2.259.000.000,408.000.000,1.169.000.000,395.000.000,1.710.600,95.500.000.000
-122.180.000,37.790.000,41.000.000,1.411.000.000,233.000.000,626.000.000,214.000.000,7.087.500,240.700.000.000
-123.850.000,39.390.000,23.000.000,4.671.000.000,912.000.000,2.095.000.000,857.000.000,3.184.000,140.500.000.000
-122.700.000,38.330.000,16.000.000,1.244.000.000,242.000.000,696.000.000,236.000.000,3.636.900,158.700.000.000
-118.100.000,33.850.000,36.000.000,956.000.000,159.000.000,416.000.000,157.000.000,4.642.900,223.700.000.000
-117.990.000,34.080.000,35.000.000,1.032.000.000,207.000.000,954.000.000,191.000.000,2.890.600,134.800.000.000
-121.930.000,37.730.000,8.000.000,831.000.000,231.000.000,404.000.000,224.000.000,3.375.000,350.000.000.000
-118.440.000,34.230.000,43.000.000,2.257.000.000,429.000.000,1.418.000.000,442.000.000,4.527.800,181.800.000.000
-118.320.000,34.260.000,24.000.000,5.106.000.000,1.010.000.000,2.310.000.000,957.000.000,4.437.500,191.500.000.000
-118.150.000,34.110.000,39.000.000,2.618.000.000,582.000.000,1.314.000.000,532.000.000,3.587.500,309.300.000.000
-117.740.000,34.040.000,27.000.000,2.215.000.000,440.000.000,1.987.000.000,449.000.000,3.042.900,129.600.000.000
-121.350.000,38.280.000,17.000.000,2.756.000.000,557.000.000,1.986.000.000,530.000.000,3.223.400,82.000.000.000
-122.750.000,39.010.000,17.000.000,4.162.000.000,967.000.000,889.000.000,414.000.000,3.418.700,200.500.000.000
-120.660.000,35.460.000,17.000.000,3.748.000.000,609.000.000,1.860.000.000,612.000.000,4.517.900,225.600.000.000
-122.620.000,38.920.000,13.000.000,520.000.000,115.000.000,249.000.000,109.000.000,1.841.700,84.700.000.000
-117.220.000,34.260.000,16.000.000,8.020.000.000,1.432.000.000,1.749.000.000,540.000.000,4.971.600,162.500.000.000
-117.920.000,33.750.000,8.000.000,2.325.000.000,598.000.000,1.511.000.000,565.000.000,3.362.900,137.500.000.000
-122.280.000,37.810.000,36.000.000,2.914.000.000,562.000.000,1.236.000.000,509.000.000,2.446.400,102.100.000.000
-118.120.000,33.810.000,37.000.000,1.798.000.000,331.000.000,860.000.000,340.000.000,4.214.300,228.500.000.000
-119.190.000,36.060.000,29.000.000,1.815.000.000,376.000.000,1.421.000.000,339.000.000,1.909.100,71.300.000.000
-117.970.000,34.070.000,22.000.000,1.438.000.000,364.000.000,1.325.000.000,335.000.000,2.780.200,162.500.000.000
-118.090.000,34.030.000,27.000.000,3.797.000.000,597.000.000,2.043.000.000,614.000.000,5.500.000,276.800.000.000
-121.930.000,37.280.000,10.000.000,3.163.000.000,832.000.000,1.537.000.000,797.000.000,4.167.400,214.000.000.000
-122.650.000,38.960.000,27.000.000,2.143.000.000,580.000.000,898.000.000,367.000.000,1.676.900,63.200.000.000
-122.490.000,37.750.000,48.000.000,2.387.000.000,424.000.000,1.041.000.000,408.000.000,3.756.200,321.200.000.000
-122.310.000,37.560.000,45.000.000,1.792.000.000,301.000.000,829.000.000,318.000.000,4.901.300,330.100.000.000
-121.270.000,38.140.000,33.000.000,3.557.000.000,894.000.000,2.659.000.000,894.000.000,2.288.300,86.900.000.000
-118.390.000,34.230.000,18.000.000,3.405.000.000,831.000.000,3.001.000.000,795.000.000,3.008.300,181.900.000.000
-118.390.000,34.070.000,33.000.000,5.301.000.000,1.281.000.000,2.243.000.000,1.159.000.000,4.238.600,500.001.000.000
-117.150.000,32.920.000,16.000.000,2.366.000.000,392.000.000,1.482.000.000,407.000.000,4.902.400,182.900.000.000
-122.090.000,37.380.000,34.000.000,1.959.000.000,342.000.000,849.000.000,357.000.000,6.288.400,414.700.000.000
-117.060.000,32.610.000,23.000.000,1.630.000.000,362.000.000,1.267.000.000,418.000.000,2.562.500,131.100.000.000
-122.330.000,37.910.000,36.000.000,1.954.000.000,513.000.000,1.437.000.000,440.000.000,1.125.000,93.800.000.000
-116.920.000,32.760.000,7.000.000,1.659.000.000,237.000.000,862.000.000,242.000.000,5.274.100,249.400.000.000
-116.000.000,34.120.000,32.000.000,3.163.000.000,712.000.000,1.358.000.000,544.000.000,2.125.000,57.700.000.000
-117.690.000,33.600.000,19.000.000,3.562.000.000,439.000.000,1.584.000.000,470.000.000,6.421.100,288.100.000.000
-117.230.000,33.910.000,9.000.000,11.654.000.000,2.100.000.000,7.596.000.000,2.127.000.000,4.047.300,127.200.000.000
-117.180.000,34.040.000,41.000.000,1.766.000.000,288.000.000,753.000.000,278.000.000,4.912.500,140.700.000.000
-121.330.000,38.280.000,14.000.000,980.000.000,171.000.000,659.000.000,183.000.000,4.430.600,170.100.000.000
-121.880.000,37.320.000,38.000.000,1.787.000.000,508.000.000,2.113.000.000,530.000.000,2.638.600,177.600.000.000
-122.520.000,37.970.000,33.000.000,563.000.000,194.000.000,265.000.000,169.000.000,2.750.000,231.300.000.000
-117.770.000,34.060.000,27.000.000,2.178.000.000,629.000.000,2.379.000.000,591.000.000,1.976.600,108.000.000.000
-121.010.000,37.720.000,23.000.000,1.373.000.000,264.000.000,677.000.000,245.000.000,2.548.600,161.100.000.000
-117.330.000,33.870.000,14.000.000,2.300.000.000,335.000.000,1.001.000.000,311.000.000,5.104.500,161.300.000.000
-118.240.000,33.970.000,37.000.000,1.212.000.000,314.000.000,1.403.000.000,279.000.000,2.553.600,117.200.000.000
-117.800.000,33.890.000,25.000.000,3.121.000.000,381.000.000,1.278.000.000,389.000.000,7.021.700,357.900.000.000
-119.620.000,36.560.000,30.000.000,1.722.000.000,372.000.000,1.467.000.000,403.000.000,1.887.800,51.600.000.000
-122.160.000,37.690.000,36.000.000,1.118.000.000,219.000.000,625.000.000,228.000.000,3.781.300,192.200.000.000
-117.970.000,33.800.000,35.000.000,2.985.000.000,474.000.000,1.614.000.000,453.000.000,5.463.100,225.600.000.000
-120.870.000,37.760.000,16.000.000,2.022.000.000,413.000.000,1.126.000.000,408.000.000,2.565.500,116.400.000.000
-120.460.000,37.310.000,26.000.000,3.170.000.000,572.000.000,1.524.000.000,565.000.000,3.480.000,95.300.000.000
-118.230.000,34.140.000,39.000.000,277.000.000,89.000.000,182.000.000,91.000.000,2.395.800,175.000.000.000
-121.070.000,38.660.000,22.000.000,1.831.000.000,274.000.000,813.000.000,269.000.000,4.639.400,173.400.000.000
-120.090.000,36.950.000,16.000.000,3.222.000.000,511.000.000,1.425.000.000,503.000.000,4.154.400,119.400.000.000
-118.210.000,33.960.000,38.000.000,2.090.000.000,519.000.000,1.871.000.000,504.000.000,2.468.800,169.000.000.000
-122.630.000,38.230.000,37.000.000,1.966.000.000,348.000.000,875.000.000,381.000.000,4.070.300,223.800.000.000
-119.400.000,36.250.000,25.000.000,1.696.000.000,279.000.000,909.000.000,291.000.000,2.300.000,132.800.000.000
-117.380.000,33.210.000,31.000.000,1.502.000.000,367.000.000,1.514.000.000,342.000.000,2.644.200,103.300.000.000
-117.250.000,32.800.000,37.000.000,1.096.000.000,260.000.000,490.000.000,267.000.000,3.266.300,270.600.000.000
-122.230.000,40.570.000,18.000.000,1.633.000.000,243.000.000,750.000.000,252.000.000,5.158.500,150.800.000.000
-121.230.000,38.790.000,45.000.000,907.000.000,176.000.000,463.000.000,190.000.000,2.229.200,92.000.000.000
-121.550.000,40.480.000,14.000.000,2.413.000.000,524.000.000,805.000.000,329.000.000,2.785.700,77.400.000.000
-117.890.000,33.920.000,34.000.000,1.473.000.000,312.000.000,1.025.000.000,315.000.000,3.833.300,170.400.000.000
-117.230.000,32.720.000,43.000.000,952.000.000,209.000.000,392.000.000,210.000.000,2.163.500,244.200.000.000
-117.920.000,33.790.000,35.000.000,1.785.000.000,288.000.000,1.033.000.000,297.000.000,4.573.900,190.500.000.000
-117.580.000,34.110.000,14.000.000,11.635.000.000,2.055.000.000,6.443.000.000,2.009.000.000,4.754.700,157.600.000.000
-120.850.000,38.690.000,18.000.000,5.928.000.000,1.097.000.000,2.697.000.000,1.096.000.000,3.487.200,141.400.000.000
-121.530.000,38.480.000,5.000.000,27.870.000.000,5.027.000.000,11.935.000.000,4.855.000.000,4.881.100,212.200.000.000
-117.210.000,32.820.000,31.000.000,2.035.000.000,383.000.000,866.000.000,360.000.000,3.852.900,212.000.000.000
-117.350.000,34.130.000,26.000.000,3.920.000.000,570.000.000,1.862.000.000,552.000.000,3.728.600,132.000.000.000
-118.170.000,33.790.000,30.000.000,1.349.000.000,519.000.000,2.646.000.000,552.000.000,1.931.800,115.900.000.000
-118.300.000,34.260.000,37.000.000,2.824.000.000,633.000.000,1.619.000.000,573.000.000,3.556.800,184.500.000.000
-118.020.000,33.830.000,16.000.000,1.139.000.000,328.000.000,665.000.000,290.000.000,3.293.300,260.000.000.000
-116.990.000,33.010.000,11.000.000,1.412.000.000,185.000.000,529.000.000,166.000.000,7.751.700,500.001.000.000
-122.560.000,38.010.000,21.000.000,2.144.000.000,400.000.000,840.000.000,398.000.000,4.600.000,239.500.000.000
-118.150.000,34.100.000,39.000.000,3.856.000.000,867.000.000,1.847.000.000,830.000.000,3.455.900,364.900.000.000
-117.930.000,33.730.000,27.000.000,3.662.000.000,834.000.000,3.009.000.000,743.000.000,3.981.600,179.500.000.000
-121.090.000,38.030.000,21.000.000,2.064.000.000,342.000.000,1.021.000.000,359.000.000,4.517.000,152.200.000.000
-116.660.000,33.090.000,24.000.000,1.378.000.000,272.000.000,532.000.000,188.000.000,1.590.900,221.900.000.000
-118.260.000,33.830.000,24.000.000,3.059.000.000,729.000.000,2.064.000.000,629.000.000,3.551.800,184.600.000.000
-117.940.000,33.930.000,14.000.000,999.000.000,232.000.000,1.037.000.000,244.000.000,2.712.500,166.100.000.000
-116.930.000,32.830.000,19.000.000,3.038.000.000,529.000.000,1.463.000.000,509.000.000,3.944.000,172.500.000.000
-122.290.000,37.850.000,52.000.000,477.000.000,119.000.000,218.000.000,106.000.000,2.568.200,120.000.000.000
-122.480.000,37.670.000,14.000.000,3.395.000.000,1.059.000.000,2.258.000.000,945.000.000,2.964.000,319.700.000.000
-119.330.000,36.310.000,15.000.000,1.472.000.000,228.000.000,892.000.000,257.000.000,5.390.900,113.000.000.000
-118.410.000,34.210.000,35.000.000,1.789.000.000,292.000.000,897.000.000,267.000.000,5.592.000,239.900.000.000
-119.500.000,34.350.000,39.000.000,308.000.000,38.000.000,59.000.000,21.000.000,11.779.400,500.001.000.000
-118.330.000,34.110.000,48.000.000,1.601.000.000,464.000.000,784.000.000,461.000.000,3.064.200,342.900.000.000
-118.300.000,34.100.000,29.000.000,3.403.000.000,1.367.000.000,3.432.000.000,1.174.000.000,1.708.300,166.700.000.000
-119.750.000,34.400.000,31.000.000,1.997.000.000,299.000.000,826.000.000,301.000.000,6.892.700,500.001.000.000
-120.940.000,39.320.000,14.000.000,3.120.000.000,595.000.000,1.569.000.000,556.000.000,3.538.500,157.400.000.000
-117.680.000,35.610.000,9.000.000,4.241.000.000,832.000.000,1.929.000.000,742.000.000,3.598.800,84.500.000.000
-122.270.000,38.120.000,45.000.000,4.423.000.000,1.001.000.000,2.109.000.000,874.000.000,2.693.700,111.800.000.000
-118.210.000,34.110.000,32.000.000,2.759.000.000,499.000.000,1.661.000.000,533.000.000,4.381.200,228.200.000.000
-117.230.000,33.100.000,4.000.000,1.862.000.000,291.000.000,685.000.000,248.000.000,7.745.000,237.400.000.000
-119.460.000,35.140.000,30.000.000,2.943.000.000,697.000.000,1.565.000.000,584.000.000,2.531.300,45.800.000.000
-119.780.000,36.760.000,50.000.000,1.343.000.000,322.000.000,1.063.000.000,342.000.000,1.750.000,49.800.000.000
-117.810.000,33.660.000,20.000.000,2.851.000.000,490.000.000,1.192.000.000,463.000.000,5.875.200,274.200.000.000
-119.290.000,34.310.000,25.000.000,1.092.000.000,190.000.000,702.000.000,215.000.000,3.906.300,192.700.000.000
-122.410.000,37.610.000,46.000.000,2.975.000.000,643.000.000,1.479.000.000,577.000.000,3.821.400,273.600.000.000
-120.320.000,37.290.000,38.000.000,576.000.000,130.000.000,478.000.000,112.000.000,2.338.200,59.600.000.000
-118.370.000,34.160.000,40.000.000,1.973.000.000,382.000.000,774.000.000,352.000.000,4.412.200,282.300.000.000
-122.050.000,37.050.000,41.000.000,2.422.000.000,502.000.000,915.000.000,366.000.000,4.167.900,201.300.000.000
-118.460.000,34.030.000,52.000.000,523.000.000,124.000.000,317.000.000,130.000.000,2.279.400,337.500.000.000
-117.120.000,32.760.000,43.000.000,2.336.000.000,644.000.000,1.203.000.000,614.000.000,2.359.400,127.800.000.000
-122.040.000,37.570.000,12.000.000,5.719.000.000,1.064.000.000,3.436.000.000,1.057.000.000,5.287.900,231.200.000.000
-121.970.000,37.360.000,34.000.000,884.000.000,153.000.000,534.000.000,154.000.000,6.011.600,271.200.000.000
-121.280.000,38.530.000,18.000.000,224.000.000,38.000.000,95.000.000,41.000.000,3.104.200,165.000.000.000
-119.090.000,35.300.000,3.000.000,2.821.000.000,519.000.000,1.353.000.000,495.000.000,3.685.200,109.800.000.000
-121.750.000,36.910.000,42.000.000,1.368.000.000,468.000.000,2.312.000.000,484.000.000,2.559.900,151.400.000.000
-121.860.000,38.000.000,4.000.000,4.075.000.000,927.000.000,2.239.000.000,849.000.000,3.585.700,165.200.000.000
-118.530.000,34.450.000,26.000.000,828.000.000,149.000.000,508.000.000,158.000.000,5.237.400,185.500.000.000
-117.940.000,33.810.000,24.000.000,4.602.000.000,1.131.000.000,3.003.000.000,1.014.000.000,3.677.100,172.200.000.000
-119.840.000,34.450.000,26.000.000,4.424.000.000,616.000.000,1.839.000.000,601.000.000,6.365.400,331.200.000.000
-118.240.000,33.910.000,37.000.000,1.607.000.000,377.000.000,1.526.000.000,375.000.000,1.715.800,94.300.000.000
-117.060.000,33.140.000,27.000.000,3.819.000.000,674.000.000,2.447.000.000,717.000.000,3.818.500,137.200.000.000
-120.980.000,37.670.000,33.000.000,1.433.000.000,298.000.000,824.000.000,302.000.000,2.762.100,109.100.000.000
-117.740.000,34.090.000,30.000.000,3.199.000.000,591.000.000,2.192.000.000,563.000.000,3.487.100,136.400.000.000
-118.180.000,34.010.000,39.000.000,322.000.000,82.000.000,319.000.000,90.000.000,2.636.400,148.800.000.000
-118.240.000,33.890.000,32.000.000,1.132.000.000,266.000.000,1.211.000.000,279.000.000,2.183.800,98.300.000.000
-123.080.000,40.400.000,10.000.000,365.000.000,102.000.000,140.000.000,49.000.000,1.796.900,37.500.000.000
-117.320.000,34.070.000,52.000.000,1.226.000.000,269.000.000,693.000.000,272.000.000,1.996.300,76.900.000.000
-118.240.000,33.850.000,25.000.000,9.594.000.000,1.489.000.000,5.237.000.000,1.496.000.000,5.968.400,193.300.000.000
-122.230.000,37.780.000,52.000.000,472.000.000,146.000.000,415.000.000,126.000.000,2.642.900,71.300.000.000
-121.180.000,38.780.000,13.000.000,3.480.000.000,528.000.000,1.432.000.000,532.000.000,6.164.200,277.800.000.000
-118.100.000,33.910.000,29.000.000,505.000.000,113.000.000,411.000.000,113.000.000,2.639.700,164.400.000.000
-121.970.000,38.040.000,38.000.000,2.505.000.000,554.000.000,1.595.000.000,498.000.000,2.583.300,83.500.000.000
-118.470.000,34.000.000,41.000.000,2.331.000.000,636.000.000,1.839.000.000,537.000.000,2.288.000,263.500.000.000
-119.310.000,36.390.000,32.000.000,2.293.000.000,466.000.000,1.538.000.000,468.000.000,1.934.200,68.600.000.000
